CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
60,5.144940,54,12,2.580687,3.744566,218 days 10:00:00,803.245045,-19.675495,-50.755473,13.268719,23.422910,214 days 19:00:00,46,11.111111,14.354944,-8.865440,11.741815,-3.442063,0.434054,-4.488983,-2.423888,-1.308934,0.897468,-3.249501
123,5.407823,52,13,2.160808,4.097468,218 days 10:00:00,837.026003,-16.297400,-50.755473,12.975638,17.360780,212 days 14:00:00,34,9.090909,11.270886,-7.550244,8.609076,-2.698867,0.377977,-5.194063,-2.249351,-1.481345,0.871760,-3.025393
59,4.281864,43,10,2.175925,3.036151,218 days 10:00:00,851.386861,-14.861314,-50.755473,19.357079,18.534536,214 days 19:00:00,52,17.647059,11.562712,-7.695856,6.897913,-2.912939,0.591097,-3.076049,-1.707282,-1.271965,0.920844,-2.377674
45,2.625879,42,18,2.849223,4.315226,218 days 10:00:00,801.682282,-19.831772,-50.755473,14.855755,21.314425,214 days 19:00:00,54,11.320755,20.458883,-9.005630,13.148527,-3.742796,0.512713,-3.877672,-2.355113,-1.448987,0.914435,-3.285978
72,2.327862,53,5,2.636333,3.500924,218 days 10:00:00,895.695721,-10.430428,-50.755473,12.881080,17.894775,214 days 19:00:00,43,16.666667,33.281115,-7.638935,15.676054,-3.544707,0.655506,-2.636192,-1.333788,-0.939558,0.947926,-1.870377
62,5.426125,53,18,2.892047,4.262277,218 days 10:00:00,874.776702,-12.522330,-50.755473,10.936358,18.847748,129 days 16:00:00,40,12.820513,26.574284,-9.123703,16.614101,-3.761889,0.590156,-3.340172,-1.705928,-1.062958,0.925582,-2.293992
45,3.759230,49,6,2.492518,3.390486,218 days 10:00:00,894.363102,-10.563690,-50.755473,14.793874,15.866291,177 days 17:00:00,46,17.777778,17.174110,-9.394637,9.093813,-3.700775,0.686679,-2.503675,-1.200621,-1.072708,0.952393,-1.681821
72,2.982703,37,17,2.768554,3.087208,218 days 10:00:00,893.632795,-10.636720,-50.755473,13.781431,17.557843,125 days 12:00:00,44,18.604651,18.852018,-9.171324,10.720130,-3.321078,0.663348,-2.597208,-1.283653,-0.975809,0.942083,-1.785441
116,3.644806,48,16,2.914864,3.740317,218 days 10:00:00,842.436337,-15.756366,-50.755473,10.105938,19.032200,212 days 14:00:00,35,11.428571,13.234143,-9.797060,10.604283,-3.509047,0.441340,-4.501819,-2.463893,-1.309002,0.869900,-3.302160
61,5.249115,51,13,2.552765,4.144585,218 days 10:00:00,799.874540,-20.012546,-50.755473,14.805260,24.475333,214 days 19:00:00,48,10.638298,15.572540,-8.644096,10.392692,-3.277599,0.446995,-4.367317,-2.501326,-1.272489,0.889741,-3.378956
121,2.263712,55,16,2.190911,3.536950,218 days 10:00:00,796.445913,-20.355409,-50.755473,16.137724,20.924652,134 days 09:00:00,44,11.363636,9.271530,-7.141642,7.355557,-2.977821,0.434205,-4.626229,-2.457281,-1.511953,0.897988,-3.279639
42,3.948804,37,7,2.570061,3.194353,218 days 10:00:00,864.098458,-13.590154,-50.755473,11.628904,18.132905,214 days 19:00:00,40,15.384615,22.015075,-8.883344,14.034399,-3.593867,0.547525,-3.519391,-1.594858,-1.194453,0.942566,-2.149192
71,5.465188,36,20,2.254164,3.590581,218 days 10:00:00,837.224531,-16.277547,-50.755473,17.580504,24.939953,214 days 19:00:00,50,14.285714,17.630410,-7.172459,10.642940,-2.629053,0.544553,-3.445881,-1.781906,-1.029988,0.916109,-2.434304
41,4.970344,43,14,2.702484,3.718982,218 days 10:00:00,873.116432,-12.688357,-50.755473,13.674030,17.314323,129 days 16:00:00,46,15.555556,25.229020,-7.875591,14.198487,-3.444363,0.644673,-2.803210,-1.478205,-1.171737,0.942737,-2.034180
66,4.832764,37,17,2.256207,4.223027,218 days 10:00:00,854.281590,-14.571841,-50.755473,17.140297,19.012333,214 days 19:00:00,47,13.043478,21.027079,-7.236021,11.902616,-2.796799,0.585635,-3.301937,-1.469369,-1.217134,0.937856,-2.031903
31,3.755307,47,16,2.194274,3.141882,218 days 10:00:00,899.957908,-10.004209,-50.755473,25.314453,15.287375,124 days 05:00:00,66,21.538462,16.588510,-8.374546,7.893961,-2.812999,0.796325,-1.514731,-0.931159,-1.056467,0.961990,-1.304625
40,2.177690,53,18,2.337995,3.751166,218 days 10:00:00,829.942747,-17.005725,-50.755473,21.512649,19.288539,215 days 22:00:00,65,15.625000,26.957545,-7.407717,10.431184,-3.093496,0.644484,-2.748814,-1.691651,-1.387601,0.938428,-2.344536
56,4.023980,53,6,2.465598,4.085289,218 days 10:00:00,876.370075,-12.362992,-50.755473,14.444452,21.620242,177 days 17:00:00,43,14.285714,14.802731,-9.294254,9.896417,-3.546524,0.633053,-3.000722,-1.276222,-0.915383,0.942728,-1.773843
46,4.067916,51,17,2.037348,4.645201,218 days 10:00:00,761.860910,-23.813909,-50.755473,20.785851,27.672229,215 days 22:00:00,55,9.259259,15.485344,-7.373397,10.648013,-2.721504,0.433079,-4.521856,-2.801667,-1.319928,0.877979,-3.800625
131,2.444712,35,10,2.827869,3.543086,218 days 10:00:00,796.985300,-20.301470,-50.755473,8.592929,20.988427,212 days 14:00:00,33,6.250000,8.570024,-9.162705,8.282524,-4.326856,0.231701,-6.495384,-3.181350,-1.503672,0.873510,-4.185982
29,3.600428,40,16,2.051682,4.062709,218 days 10:00:00,821.408195,-17.859181,-50.755473,27.798847,23.277540,216 days 17:00:00,73,15.277778,18.042048,-5.606450,9.869252,-2.537845,0.664258,-2.501771,-1.534126,-1.203691,0.940787,-2.134696
123,4.231005,54,19,2.132745,4.939074,218 days 10:00:00,747.195402,-25.280460,-50.755473,15.007998,25.389442,212 days 14:00:00,40,5.000000,9.660821,-6.879101,8.988998,-2.598116,0.249218,-6.320115,-3.524476,-1.518505,0.815701,-4.569284
54,2.143736,53,14,2.438971,3.156913,218 days 10:00:00,807.578435,-19.242156,-50.755473,22.538362,26.268507,146 days 11:00:00,66,16.923077,11.768528,-8.397749,7.895727,-3.317019,0.621829,-2.994287,-1.970565,-1.143299,0.927275,-2.697937
114,5.369269,43,9,2.688500,3.116387,218 days 10:00:00,890.666732,-10.933327,-50.755473,11.542338,13.168152,212 days 14:00:00,35,17.142857,18.524972,-10.203957,9.944789,-3.260973,0.597857,-3.123808,-1.587216,-1.335967,0.923576,-2.150908
25,3.548233,50,14,2.182866,4.869228,218 days 10:00:00,935.302650,-6.469735,-50.755473,17.362975,15.286785,125 days 12:00:00,47,15.217391,24.091982,-8.060602,14.997878,-2.914183,0.810720,-1.544447,-0.521633,-0.691792,0.980155,-0.746842
40,3.808437,39,5,2.611721,3.839200,218 days 10:00:00,935.468851,-6.453115,-50.755473,12.699267,16.710013,130 days 14:00:00,40,17.948718,30.117349,-9.616409,16.358808,-3.765837,0.797684,-1.637961,-0.701727,-0.631281,0.973790,-0.997871
50,3.245904,39,16,2.120165,3.683759,218 days 10:00:00,906.770831,-9.322917,-50.755473,27.304376,16.640605,130 days 10:00:00,68,19.402985,13.262240,-6.906104,9.210178,-2.661139,0.821126,-1.372552,-0.793197,-0.906647,0.966740,-1.127680
93,2.329549,48,16,2.979511,3.350661,218 days 10:00:00,831.495241,-16.850476,-50.755473,10.651288,21.835463,164 days 04:00:00,41,12.500000,13.336989,-10.269479,9.761290,-4.209048,0.457612,-4.383992,-2.328196,-1.215258,0.912053,-3.193912
114,4.671775,55,20,2.473472,3.346404,218 days 10:00:00,826.632412,-17.336759,-50.755473,10.708747,18.003501,212 days 14:00:00,33,9.375000,10.308021,-7.861384,9.372944,-3.018651,0.324548,-5.588078,-2.430322,-1.513722,0.875131,-3.227355
