CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
115,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,899.772661,-10.022734,-50.755473,17.695550,13.054379,212 days 14:00:00,40,22.500000,8.723779,-7.467657,4.856761,-2.505199,0.659915,-2.505683,-1.490909,-1.239389,0.901163,-2.000600
115,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,899.772661,-10.022734,-50.755473,17.695550,13.054379,212 days 14:00:00,40,22.500000,8.723779,-7.467657,4.856761,-2.505199,0.659915,-2.505683,-1.490909,-1.239389,0.901163,-2.000600
115,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,899.772661,-10.022734,-50.755473,17.695550,13.054379,212 days 14:00:00,40,22.500000,8.723779,-7.467657,4.856761,-2.505199,0.659915,-2.505683,-1.490909,-1.239389,0.901163,-2.000600
125,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,1018.069686,1.806969,-50.755473,29.192904,11.872555,93 days 04:00:00,64,31.250000,12.425327,-7.307469,5.283051,-2.692427,1.040719,0.282339,0.280440,0.255878,1.014335,0.407459
125,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,1065.409523,6.540952,-50.755473,21.514800,5.674817,74 days 07:00:00,50,34.000000,17.783162,-6.472548,6.797974,-2.753600,1.198082,1.308190,0.898144,1.968157,1.048980,1.290390
125,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,944.328301,-5.567170,-50.755473,17.688709,8.227000,212 days 14:00:00,42,26.190476,17.683981,-6.472548,6.416700,-2.691251,0.812167,-1.325517,-0.756949,-1.109580,0.956671,-1.034195
125,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,953.395310,-4.660469,-50.755473,17.827113,8.287222,136 days 10:00:00,41,26.829268,10.871874,-6.472548,5.797418,-2.509669,0.839245,-1.136700,-0.602615,-0.925010,0.960778,-0.828081
125,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,953.355084,-4.664492,-50.755473,17.820871,8.287222,136 days 10:00:00,41,26.829268,10.871874,-6.472548,5.797418,-2.511504,0.839129,-1.137681,-0.603684,-0.925796,0.960833,-0.830725
125,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,940.748826,-5.925117,-50.755473,17.107214,10.406783,212 days 14:00:00,39,25.641026,9.382184,-6.472548,5.289972,-2.507670,0.786613,-1.519261,-0.823442,-0.932411,0.947110,-1.124452
125,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,940.748826,-5.925117,-50.755473,17.107214,10.406783,212 days 14:00:00,39,25.641026,9.382184,-6.472548,5.289972,-2.507670,0.786613,-1.519261,-0.823442,-0.932411,0.947110,-1.124452
